,CPRO,LITPRO,CUMUN,LITMUN,CUDIS,ALQM2mes_LV_M_VC_21,time_pub_trans,time_priv_trans,str_line_dist,has_beach,has_parks,parks_surface,pt_lines,avg_inc_hh,ibi_urb,ibi_rur,cat_update,vpo,rented_houses_mitma,population,foreign_born_rate,superior_studies_rate,unemployment_rate,has_tram,has_metro,has_rodalies,has_fgc,pop_density,industrial_waste,population_growth,new_houses,mob_estud
0,8,Barcelona,8015,Badalona,801501,9.51051401869159,27,40,9.63,1,0,95210.0,37,48153,0.75,0.799,1998,22,707,7917,0.09473104711380573,0.5145536945812808,0.08145778704054565,0,1,1,0,10529.1,15748.85,-0.13,3.2,0.89192155
1,8,Barcelona,8015,Badalona,801502,9.25925925925926,34,35,9.55,0,0,95210.0,37,36386,0.75,0.799,1998,22,1167,18503,0.1684621574879749,0.3197591363562666,0.1396211208993136,0,1,1,0,10529.1,15748.85,0.05460245084069536,3.2,0.89192155
2,8,Barcelona,8015,Badalona,801503,10.5128,28,35,8.43,1,0,95210.0,37,43945,0.75,0.799,1998,22,1204,19263,0.1398008721382962,0.421936058765509,0.09293510875772205,1,1,0,0,10529.1,15748.85,0.15140466228332336,3.2,0.89192155
3,8,Barcelona,8015,Badalona,801504,9.331875,41,40,10.18,0,1,99372.0,37,39350,0.75,0.799,1998,22,1127,26998,0.08231232683902512,0.3105347210904512,0.1142129491073413,0,0,0,0,10529.1,15748.85,0.02207079310997539,3.2,0.89192155
4,8,Barcelona,8015,Badalona,801505,9.52380952380952,33,40,10.16,1,1,95210.0,37,44638,0.75,0.799,1998,22,714,12275,0.07978769042769858,0.434137417515275,0.08705984521384928,0,1,1,0,10529.1,15748.85,0.1004034065441506,3.2,0.89192155
5,8,Barcelona,8015,Badalona,801506,8.43348598808817,43,35,10.97,0,1,12487.0,37,35373,0.75,0.799,1998,22,180,7602,0.06524484346224678,0.2146408445146014,0.155840410418311,0,0,0,0,10529.1,15748.85,0.06769662921348314,3.2,0.89192155
6,8,Barcelona,8015,Badalona,801507,8.90790085893339,38,35,8.28,0,0,24984.74,37,32224,0.75,0.799,1998,22,2163,41258,0.23120964661399,0.2362143463085947,0.1683755877647971,0,1,0,0,10529.1,15748.85,-0.04715935334872979,3.2,0.89192155
7,8,Barcelona,8015,Badalona,801508,8.64197530864198,37,40,8.83,0,0,81324.0,37,33974,0.75,0.799,1998,22,821,19065,0.1584539680041962,0.2346681982690795,0.1470034670862838,0,1,0,0,10529.1,15748.85,-0.12485655267385816,3.2,0.89192155
8,8,Barcelona,8015,Badalona,801509,9.0,27,30,7.28,1,0,24984.74,37,28655,0.75,0.799,1998,22,3085,68869,0.2722778579622181,0.1742244377005619,0.205388659629151,1,1,0,0,10529.1,15748.85,0.05215797112520052,3.2,0.89192155
9,8,Barcelona,8904,Badia del Vallès,890401,6.35384615384615,47,50,14.16,0,1,8129.0,4,29153,0.84,0.84,2010,2,43,13279,0.0917222983658408,0.1528268770238723,0.2115419835831011,0,0,1,0,14223.7,0.0,-0.023961778757809627,0.0,0.78365385
10,8,Barcelona,8252,Barberà del Vallès,825201,8.22682727643936,40,35,14.72,0,1,32347.0,1,39246,0.47,0.47,1990,5,923,33032,0.1065039537418261,0.3338967576895132,0.1183555582465488,0,0,1,0,3973.0,23232.76,0.029836321122369447,3.1,0.6872428
11,8,Barcelona,8020,Begues,802001,9.28365671641791,75,55,21.63,0,1,10237.0,1,55251,0.85,0.71,2010,0,378,7355,0.101434425560843,0.489106403806934,0.07860943575798778,0,0,0,0,145.8,224.76,0.1367851622874807,1.9,0.72693727
12,8,Barcelona,8054,Castellbisbal,805401,7.5764458400876,73,60,18.71,0,1,14998.75,2,42753,0.57,0.515,2005,17,594,12595,0.09114111155220325,0.3222384358872569,0.09701231441048033,0,0,0,0,406.4,493377.58,0.020664505672609402,1.9,0.79713115
13,8,Barcelona,8056,Castelldefels,805601,10.3260869565217,53,45,19.11,0,1,43860.0,16,40510,0.425,0.42,2006,7,1020,17795,0.2143465524023602,0.3583685417252037,0.11551041303737,0,0,0,0,5223.5,311.89,0.006504524886877828,0.6,0.80529101
14,8,Barcelona,8056,Castelldefels,805602,10.7692307692308,41,40,22.05,0,1,43860.0,16,38393,0.425,0.42,2006,7,1088,12202,0.2877327323389609,0.3796051385018849,0.1246231601376823,0,0,1,0,5223.5,311.89,-0.167098976109215,0.6,0.80529101
15,8,Barcelona,8056,Castelldefels,805603,11.0,43,40,19.82,0,1,43860.0,16,50902,0.425,0.42,2006,7,527,10104,0.2018961797307997,0.4379887668250198,0.09750593824228028,0,0,1,0,5223.5,311.89,-0.03954372623574144,0.6,0.80529101
16,8,Barcelona,8056,Castelldefels,805604,12.5412314458494,44,40,22.09,1,0,43860.0,16,51502,0.425,0.42,2006,7,1257,13389,0.3225011800731944,0.5285502352677571,0.09485469415191576,0,0,1,0,5223.5,311.89,0.6377981651376147,0.6,0.80529101
