,CUMUN,LITMUN,ALQM2mes_LV_M_VU_21,time_pub_trans,time_priv_trans,str_line_dist,has_tram,has_metro,has_rodalies,has_fgc,pt_lines,population,unemployment_rate,foreign_born_rate,superior_studies_rate,avg_inc_hh,population_growth,pop_density,ibi_urb,ibi_rur,cat_update,mob_estud,has_parks,rented_houses_mitma,industrial_waste,vpo,new_houses,parks_surface,has_beach
0,8015,Badalona,5.372441377827603,33.16246223224352,34.941059751972944,8.611524419391207,1,1,1,0,37.0,221750,0.15445218579481398,0.1874604505073281,0.2691358538895153,34862.91583765502,0.020322581991859948,10529.1,0.75,0.799,1998.0,0.8919215499999998,1,11168,15748.849999999999,22.0,3.2,56811.22494692221,1
1,8020,Begues,7.24162028838856,75.0,55.0,21.63,0,0,0,0,1.0,7355,0.07860943575798778,0.10143442556084302,0.489106403806934,55251.0,0.1367851622874807,145.8,0.85,0.71,2010.0,0.72693727,1,378,224.76,0.0,1.9,10237.0,0
2,8054,Castellbisbal,6.81934123186169,73.0,60.0,18.71,0,0,0,0,2.0,12595,0.09701231441048033,0.09114111155220325,0.3222384358872569,42753.0,0.020664505672609402,406.4,0.57,0.515,2005.0,0.79713115,1,594,493377.58,17.0,1.9,14998.75,0
3,8056,Castelldefels,11.941935743408942,46.29672778392606,41.33064636736159,20.590545269643766,0,0,1,0,16.0,66866,0.1078368722519666,0.26907894146501954,0.44256679777465374,45862.806119702094,0.157073341431728,5223.5,0.425,0.42000000000000004,2006.0,0.80529101,1,5221,311.89,7.0,0.6,43860.0,1
4,8068,Cervelló,6.60714285714286,55.0,55.0,17.98,0,0,0,0,2.0,9215,0.1006935973955507,0.09993836136733587,0.3945673792729246,45654.0,0.09053254437869822,383.1,0.77,1.0,2013.0,0.58012821,1,427,3222.28,0.0,2.3,7718.0,0
5,8072,Corbera de Llobregat,6.20731042793795,86.0,60.0,20.8,0,0,0,0,3.0,15029,0.09651772573025483,0.1413757269279393,0.3798821012708763,45440.0,0.08434343434343435,815.7,0.962,0.77,1999.0,0.60925926,1,857,477.83,0.0,0.5,3624.0,0
6,8073,Cornellà de Llobregat,8.118824741613258,25.058715987348304,33.46855021422643,8.342974046075506,1,1,1,1,32.0,89158,0.1351981448664169,0.21926099845218602,0.297396977276296,34699.00852419301,0.04564996309683375,12775.4,0.617,0.466,2006.0,0.77649186,1,5618,21819.17,0.0,3.7000000000000006,73506.21669395904,0
7,8077,Esplugues de Llobregat,12.535143623469976,29.88948500184626,31.967657855296597,6.847914159734138,1,1,1,0,23.0,46039,0.11541439648993247,0.20039978713699258,0.3573398944373249,42179.81433132779,0.02845536148528225,10168.9,0.672,1.01,1997.0,0.71804802,1,2653,7434.969999999999,0.0,0.1,62683.70526206044,0
8,8089,Gavà,8.25299885590945,47.820494201567605,40.0,16.75433932041945,0,0,1,0,18.0,46823,0.11900736603805824,0.1559239839395169,0.34035134015334345,40544.89603400038,0.016400280723243617,1526.2,0.644,0.9,2001.0,0.87130076,1,2578,15742.8,30.0,1.7,59651.25,1
9,8101,"Hospitalet de Llobregat, L'",6.273386977593011,22.381607000675466,27.585132998494355,5.3182896797394745,1,1,1,1,58.0,265003,0.1447920687690328,0.32397290483503965,0.25966562944570437,32504.386523926143,0.04676488224391853,21343.3,0.8213,0.43,2000.0,0.81380621,1,18815,28295.74,39.0,2.9,65532.90929181934,0
10,8123,Molins de Rei,6.213592583628235,38.68809095433143,49.80591815641389,12.927265245186238,0,0,1,0,5.0,26123,0.09294791562990469,0.09664877693986142,0.41589605711442024,43620.312636374074,0.06377116892959638,1637.6,0.584,0.9,2006.0,0.82470961,1,1354,5750.57,15.0,5.6,41604.58000000001,0
11,8125,Montcada i Reixac,5.557133671920739,26.43262526789832,42.22321695016413,10.674629554271453,0,1,1,0,16.0,36861,0.15409243916334336,0.17601635875315372,0.28314473834133635,36260.57611025203,0.08361371220885168,1567.7,0.626,0.9,2006.0,0.80613027,1,1671,44310.61000000001,5.0,0.4000000000000001,75663.12366457774,0
12,8126,Montgat,8.5853343398856,26.0,35.0,13.19,0,0,1,0,6.0,12250,0.1071966693877551,0.12424630204081628,0.4192673387755103,42514.0,0.1374187558031569,4213.1,0.44,0.44,2006.0,0.71428571,1,587,245.43,0.0,5.6,61994.93,1
13,8157,Pallejà,6.95283252101434,47.0,45.0,14.91,0,0,0,1,2.0,11640,0.09365048969072165,0.09432714776632303,0.38314810137457034,44987.0,0.05006765899864682,1401.9,0.44,0.9,2006.0,0.74883721,1,558,935.37,0.0,1.4,7410.07,0
14,8158,"Papiol, El",5.84375290869039,45.0,55.0,14.49,0,0,1,0,2.0,4228,0.1087264900662252,0.1147122516556291,0.3594774834437086,40187.0,0.05964912280701754,472.9,0.58,0.52,2006.0,0.46621622,1,241,8765.43,0.0,7.1,3691.33,0
15,8169,"Prat de Llobregat, El",4.697176584108463,37.3531497928673,28.23000137578917,9.372312701591328,0,1,1,0,29.0,65417,0.13537358331932067,0.1377479523671217,0.2803302352599477,37130.39936102236,0.05833008811534808,2086.3,0.575,0.449,1997.0,0.87859581,1,2996,33501.49,43.0,1.9,139354.08083984288,1
16,8180,Ripollet,5.035178069095918,45.64647292280118,50.0,12.546058123159648,0,0,0,0,7.0,39055,0.15278905901933174,0.15555046216873641,0.27073456151581105,34565.96041479964,0.04970343442288087,9039.0,0.748,0.558,2020.0,0.81458759,0,1895,7893.67,8.0,1.9,13325.090000000002,0
17,8194,Sant Adrià de Besòs,6.446256157635468,25.62767705611379,31.55461867945368,5.946971794940869,1,1,1,0,21.0,37121,0.19075629158697238,0.19086889092427464,0.24608142291425336,31814.23374909081,0.32974160965247606,9760.0,0.54,0.4000000000000001,2013.0,0.6769103,1,1521,6818.75,4.0,7.7,44326.876451604214,1
18,8196,Sant Andreu de la Barca,6.60824555794858,45.0,55.0,17.79,0,0,0,1,4.0,27206,0.12108871940013231,0.1386179592736896,0.27086291994413,37824.0,0.01344756937977277,4940.9,0.735,0.868,1996.0,0.80393996,1,1382,21156.64,0.0,0.4,28488.0,0
19,8200,Sant Boi de Llobregat,6.829392554055842,42.33458102629722,36.90430633453319,12.16780402052116,0,0,0,1,33.0,83621,0.132684231233781,0.1375720046399828,0.28488802573516225,36487.55776658973,0.04084339153759838,3901.0,0.61,0.9819999999999999,2006.0,0.88574538,1,4164,11830.840000000002,11.0,1.2,255590.0,0
